tweets,class,result,resultPercentage
no one ever predicted this was going to happen. https://t.co/eeJsozDYKc,1,0,0.15779516100883484
wonderful time with customer service @TMobile  can't add line w loyalty plan. Rep couldn't even explain data plan options to me,1,0,0.12782028317451477
So last month I lost my job and today my dad lost his. 2015 is such a great year...,1,1,0.9605635404586792
And the heel on my @katespadeny shoe just broke. I love when I buy expensive shoes and they don't last,1,1,0.961869478225708
This girl can't wait to shop on Michigan Ave.,1,1,0.9341002702713013
"@theandyboyd You say, via twitter.",1,0,0.17027784883975983
I just love getting anxiety at random times. Its fun!,1,1,0.9695106148719788
"@sexysportsfan Pretty sure I was hating on ESPN, but whatever. You sure showed me! It burns! It burns!",1,0,0.4648551046848297
It's really great that pointless feuding between celebs gets more attention than things that actually matter.,1,1,0.965030312538147
@roseperson @picardonhealth @RawStory because a well armed surfer could have shot that shark!! ,1,1,0.9293986558914185
Trying to figure out how to get to AMS for Sail Amsterdam. Ticket prices are ONLY $1500,1,0,0.059642158448696136
@SportsCenter HURR HURR kitchen jokes are so funny!,1,1,0.9128655195236206
@DeLaCruzPhotog lol how dumb are you? You tweet me saying stop stalking,1,0,0.28349050879478455
I love it when the power goes out while filling out a job application online. Ugh...😐😑,1,1,0.980406641960144
Baby has her first runny nose.  Yay...,1,1,0.989772379398346
Well today is going fan-fucking-tactic so far,1,1,0.8680781126022339
"The only thing you could really do at 18 is drive people around, sign legal papers, and go to clubs lol. How exciting.",1,1,0.9654131531715393
always nice when people ignore admins.,1,1,0.9898854494094849
So pleased with managment support,1,1,0.9833759665489197
"#Pixels is apparently one of the worst movies of the year so far. How surprising, a movie with Adam Sandler &amp; Kevin James is awful.",1,0,0.49020063877105713
"@GuildWars2_DE Also yeah great, more tank attunement gameplay. Everyone LOVES the Fire/Staff build...",1,0,0.3514350950717926
And it rains.... and we're going camping tomorrow!,1,1,0.5103143453598022
Glad to see that production isn't bending the rules AT ALL for,1,1,0.9400469064712524
So many good things are happening to me right now that I just feel like crying!,1,0,0.20018047094345093
Can't wait for 2017 when we'll get the 2018 announcement date for No Man's Sky !    @hellogames,1,1,0.9873140454292297
I love getting woke up at 630 when I don't have to be at work for another 1.5 hours,1,1,0.9803558588027954
"Btw, Dodger fans, be sure to blame Mattingly for that last play.",1,0,0.2632347643375397
LOL dat awkward moment when you accidentally squirt your stress-relief soap in ya eyes and start crying,1,1,0.7862973213195801
LOL dat awkward moment when you accidentally squirt your stress-relief soap in ya eyes and start crying,1,1,0.7862973213195801
I love how sharing and connected my family is,1,1,0.8050236701965332
@HP Yea! great product! If you want to lose all your data in a year and be forced to pay to restore it,1,0,0.47914445400238037
Let's be honest...Iran IS a bad idea. Let's give them weapons and then act completely surprised when they use them on us!,1,1,0.7763456702232361
It's 9 o'clock and I'm having a fucking wonderful day,1,1,0.7339024543762207
i have to say to my mum that i'm gonna get the tattoo on thursday...she will be so happy,1,1,0.5518022179603577
Excited to go back to school!!!,1,1,0.853050947189331
Don't you just love it when you click on the 'open in app' option and it takes you to the App Store  but you have the app😡,1,1,0.9012335538864136
Can't find my where's wally costume. Am looking everywhere for it,1,0,0.03882008418440819
Because we have such a problem in Canada with fake voters. Sooooo many voters just trying to fraud.,1,1,0.8879588842391968
Just had to break up a cat fight. Having four cats is hell-a fun!,1,1,0.9192026257514954
Oh goody they're gonna talk about That oughta be calm and reasonable.,1,1,0.9796534776687622
Don't you just love two faced people??,1,1,0.8591819405555725
"Yeah, I totally haven't been listening to podcasts and play ing pokemon tcg online all day. XD @DansTokuRants @TheGRIDPR",1,0,0.46347349882125854
The fact that surgery was the one that made my shoulder worse just makes this day even better,1,1,0.9744853973388672
Your really got me by throwing gum on my car haha let me go cry myself to sleep,1,1,0.6864921450614929
