text,label,gpt run no. 1,gpt run no. 2,gpt run no. 3,gpt run no. 4,gpt run no. 5,gpt run no. 6,gpt run no. 7,gpt run no. 8,gpt run no. 9,gpt run no. 10,gpt run no. 11,gpt run no. 12,gpt run no. 13,gpt run no. 14,gpt run no. 15,gpt run no. 16,gpt run no. 17,gpt run no. 18,gpt run no. 19,gpt run no. 20
seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Now I remember why I buy books online @user #servicewithasmile,1,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes
@user @user So is he banded from wearing the clothes?  #Karma,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Just found out there are Etch A Sketch apps.  #oldschool #notoldschool,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes
"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",1,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
@user on stage at #flzjingleball at the @user in #Tampa #iheartradio,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,1,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Halfway thorough my workday ... Woooo,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
I forked node!  Get ready for the future.  (Where's my interviews),0,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No
"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",0,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight",1,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,1,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
@user Can U use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No
"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",0,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
