tweets,class
no one ever predicted this was going to happen. https://t.co/eeJsozDYKc,1.0
wonderful time with customer service @TMobile  can't add line w loyalty plan. Rep couldn't even explain data plan options to me,1.0
So last month I lost my job and today my dad lost his. 2015 is such a great year...,1.0
And the heel on my @katespadeny shoe just broke. I love when I buy expensive shoes and they don't last,1.0
This girl can't wait to shop on Michigan Ave. #hateshopping,1.0
"@theandyboyd You say, via twitter.",1.0
I just love getting anxiety at random times. Its fun!,1.0
"@sexysportsfan Pretty sure I was hating on ESPN, but whatever. You sure showed me! It burns! It burns!",1.0
It's really great that pointless feuding between celebs gets more attention than things that actually matter. #RealLife #bullshit,1.0
@roseperson @picardonhealth @RawStory because a well armed surfer could have shot that shark!! ,1.0
Trying to figure out how to get to AMS for Sail Amsterdam. Ticket prices are ONLY $1500,1.0
@SportsCenter HURR HURR kitchen jokes are so funny!,1.0
@DeLaCruzPhotog lol how dumb are you? You tweet me saying stop stalking #genius,1.0
I love it when the power goes out while filling out a job application online. Ugh...😐😑 #saidnoonever #poweroutage #badtiming,1.0
Baby has her first runny nose.  Yay...,1.0
Well today is going fan-fucking-tactic so far,1.0
"The only thing you could really do at 18 is drive people around, sign legal papers, and go to clubs lol. How exciting.",1.0
always nice when people ignore admins.,1.0
So pleased with managment support,1.0
"#Pixels is apparently one of the worst movies of the year so far. How surprising, a movie with Adam Sandler &amp; Kevin James is awful.",1.0
"@GuildWars2_DE Also yeah great, more tank attunement gameplay. Everyone LOVES the Fire/Staff build...",1.0
And it rains.... and we're going camping tomorrow!,1.0
Glad to see that production isn't bending the rules AT ALL for #BBAudrey... #BB17 #Smh,1.0
So many good things are happening to me right now that I just feel like crying!,1.0
Can't wait for 2017 when we'll get the 2018 announcement date for No Man's Sky !    @hellogames,1.0
I love getting woke up at 630 when I don't have to be at work for another 1.5 hours,1.0
"Btw, Dodger fans, be sure to blame Mattingly for that last play. #GoDodgers",1.0
LOL dat awkward moment when you accidentally squirt your stress-relief soap in ya eyes and start crying,1.0
LOL dat awkward moment when you accidentally squirt your stress-relief soap in ya eyes and start crying,1.0
I love how sharing and connected my family is,1.0
@HP Yea! great product! If you want to lose all your data in a year and be forced to pay to restore it #HPsucks #boycottHP,1.0
Let's be honest...Iran IS a bad idea. Let's give them weapons and then act completely surprised when they use them on us! #NoDeal,1.0
It's 9 o'clock and I'm having a fucking wonderful day,1.0
i have to say to my mum that i'm gonna get the tattoo on thursday...she will be so happy,1.0
Excited to go back to school!!! #justkidding,1.0
Don't you just love it when you click on the 'open in app' option and it takes you to the App Store  but you have the app😡 #iphone,1.0
Can't find my where's wally costume. Am looking everywhere for it,1.0
Because we have such a problem in Canada with fake voters. Sooooo many voters just trying to fraud.,1.0
Just had to break up a cat fight. Having four cats is hell-a fun!,1.0
